root - WARNING - 'ros/ros.h' file not found
root - WARNING - move_slow_and_clear/move_slow_and_clear.h: declaration_file_name not present
root - WARNING - MOVE_SLOW_AND_CLEAR_MOVE_SLOW_AND_CLEAR_H_: declaration_file_name not present
root - WARNING - ros/ros.h: declaration_file_name not present
root - WARNING - nav_core/recovery_behavior.h: declaration_file_name not present
root - WARNING - costmap_2d/costmap_2d_ros.h: declaration_file_name not present
root - WARNING - boost/thread.hpp: declaration_file_name not present
root - WARNING - dynamic_reconfigure/Reconfigure.h: declaration_file_name not present
root - WARNING - pluginlib/class_list_macros.hpp: declaration_file_name not present
root - WARNING - costmap_2d/obstacle_layer.h: declaration_file_name not present
